date,time,currency,impact,event,killzone
2020-01-14,4:30pm,USD,High,Core CPI m/m,Outside
2020-01-14,,USD,High,CPI m/m,Outside
2020-01-14,,USD,High,CPI y/y,Outside
2020-01-15,11:40am,GBP,High,MPC Member Saunders Speaks,Outside
2020-01-15,12:30pm,GBP,High,CPI y/y,Outside
2020-01-16,3:30pm,EUR,High,ECB Monetary Policy Meeting Accounts,Outside
2020-01-16,,USD,High,Core Retail Sales m/m,Outside
2020-01-16,,USD,High,Retail Sales m/m,Outside
2020-01-16,9:00pm,EUR,High,ECB President Lagarde Speaks,Outside
2020-01-17,12:30pm,GBP,High,Retail Sales m/m,Outside
2020-01-23,3:45pm,EUR,High,Main Refinancing Rate,Outside
2020-01-23,,EUR,High,Monetary Policy Statement,Outside
2020-01-23,4:30pm,EUR,High,ECB Press Conference,Outside
2020-01-23,7:00pm,USD,High,Crude Oil Inventories,Outside
2020-01-24,11:15am,EUR,High,French Flash Services PMI,Outside
2020-01-24,11:30am,EUR,High,German Flash Manufacturing PMI,Outside
2020-01-24,,EUR,High,German Flash Services PMI,Outside
2020-01-24,12:30pm,EUR,High,ECB President Lagarde Speaks,Outside
2020-01-24,,GBP,High,Flash Manufacturing PMI,Outside
2020-01-24,,GBP,High,Flash Services PMI,Outside
2020-01-24,,USD,High,Treasury Sec Mnuchin Speaks,Outside
2020-01-27,12:00pm,EUR,High,German ifo Business Climate,Outside
2020-01-28,6:00pm,USD,High,CB Consumer Confidence,Outside
2020-01-29,10:00pm,USD,High,Federal Funds Rate,Outside
2020-01-29,,USD,High,FOMC Statement,Outside
2020-01-29,10:30pm,USD,High,FOMC Press Conference,Outside
2020-01-30,3:00pm,GBP,High,BOE Monetary Policy Report,Outside
2020-01-30,,GBP,High,Monetary Policy Summary,Outside
2020-01-30,,GBP,High,MPC Official Bank Rate Votes,Outside
2020-01-30,,GBP,High,Official Bank Rate,Outside
2020-01-30,3:30pm,GBP,High,BOE Gov Carney Speaks,Outside
2020-01-30,4:30pm,USD,High,Advance GDP q/q,Outside
